WB_id,symbol,sequence,live_dead,type,logFC,logCPM,PValue,FDR
WBGene00005036,sra-10,F44F4.5,Live,protein_coding_gene,0.111857041,1.529442102,0.606884723,0.855278281
WBGene00011217,,R10E11.5,Live,protein_coding_gene,0.079621403,3.156819684,0.60699436,0.855278281
WBGene00012979,,Y48B6A.5,Live,protein_coding_gene,0.135346078,1.074997158,0.607000513,0.855278281
WBGene00013693,,Y105E8B.9,Live,protein_coding_gene,0.143120867,2.455351321,0.607071729,0.855278281
WBGene00015677,cpg-4,C10F3.1,Live,protein_coding_gene,-0.12564594,3.206095884,0.606692291,0.855278281
WBGene00019724,,M02B7.2,Live,protein_coding_gene,-0.080610526,2.963593339,0.606744727,0.855278281
WBGene00021985,,Y59C2A.2,Live,protein_coding_gene,-0.100387884,2.94509574,0.607091119,0.855278281
WBGene00022615,,ZC449.5,Live,protein_coding_gene,0.062921314,7.078112857,0.606592135,0.855278281
WBGene00014061,,ZK673.5,Live,protein_coding_gene,-0.138355648,0.997949936,0.607160068,0.855291285
WBGene00022036,,Y65B4BL.4,Live,protein_coding_gene,-0.241744237,0.101018261,0.607370115,0.855503028
WBGene00020299,,T07A9.12,Live,protein_coding_gene,0.071019724,4.109462166,0.607600321,0.855743121
WBGene00001830,hcp-2,T06E4.1,Live,protein_coding_gene,-0.077710585,5.12975278,0.607862682,0.855944286
WBGene00019545,,K09B3.1,Live,protein_coding_gene,-0.292862806,0.343389972,0.607833432,0.855944286
WBGene00017157,tyra-2,F01E11.5,Live,protein_coding_gene,-0.087029411,3.225129658,0.607930356,0.855955422
WBGene00010622,,K07A12.4,Live,protein_coding_gene,0.052561864,4.714533476,0.608160647,0.856195497
WBGene00009060,,F22E12.3,Live,protein_coding_gene,0.115992219,2.374860449,0.608245874,0.856231316
WBGene00018572,lin-42,F47F6.1,Live,protein_coding_gene,0.150372104,7.647008294,0.608425546,0.856315907
WBGene00021327,mrpl-38,Y34D9A.1,Live,protein_coding_gene,0.05460619,5.328459291,0.608387016,0.856315907
WBGene00007067,,4R79.2,Live,protein_coding_gene,0.102752267,2.402096503,0.608558743,0.856419212
WBGene00004743,scm-1,M01D7.2,Live,protein_coding_gene,-0.046659799,5.773268095,0.608867799,0.856614048
WBGene00012416,,Y7A9A.1,Live,protein_coding_gene,0.073695405,3.240231482,0.608924891,0.856614048
WBGene00044166,,C54C6.7,Live,protein_coding_gene,-0.191452536,0.047150778,0.608936435,0.856614048
